,letter
0.0643084687012869,a
0.0124240852023591,b
0.0186285748149663,c
0.0354867000586228,d
0.100298023499090,e
0.0180969606192986,f
0.0160730501814751,g
0.0503605680544605,h
0.0558449092566523,i
0.00101834620924219,j
0.00576176828244459,k
0.0313693045382422,l
0.0228347179510717,m
0.0565304882193713,n
0.0622880442581890,o
0.0128126283644933,p
0.000905632379778209,q
0.0482666472225628,r
0.0497274242624071,s
0.0705347457809296,t
0.0230119226829610,u
0.00816332814888451,v
0.0195822848720030,w
0.00120513742662707,x
0.0179691408126900,y
0.000318823267620396,z
0.186944020153698, 
0.00923425477857252,.
